0,-2.2485352,16.789063,-4.796875,3
10000000,-4.796875,17.538574,-4.796875,3
20000000,-4.9467773,17.988281,-5.3964844,3
30000000,-4.9467773,19.78711,-4.6469727,3
40000000,-5.3964844,17.538574,-4.1972656,3
50000000,-3.5976563,17.088867,-3.2978516,3
60000000,-4.4970703,17.988281,-4.6469727,3
70000000,-3.897461,17.988281,-4.0473633,3
80000000,-3.5976563,18.58789,-5.246582,3
90000000,-3.897461,16.938965,-4.0473633,3
100000000,-3.5976563,18.138184,-4.796875,3
110000000,-4.9467773,17.23877,-4.4970703,3
120000000,-3.897461,18.437988,-4.9467773,3
130000000,-4.9467773,18.737793,-5.0966797,3
140000000,-3.1479492,17.988281,-4.4970703,3
150000000,-5.3964844,18.58789,-4.6469727,3
320000000,-4.9467773,17.23877,-4.4970703,3
330000000,-5.0966797,16.789063,-4.6469727,3
340000000,-3.897461,17.688477,-4.9467773,3
350000000,-4.1972656,18.437988,-5.3964844,3
1080000000,-4.347168,16.339355,-4.1972656,3
1090000000,-4.796875,18.138184,-5.0966797,3
1100000000,-5.246582,17.988281,-4.9467773,3
1110000000,-5.0966797,18.138184,-5.0966797,3
1120000000,-2.9980469,18.58789,-4.6469727,3
1130000000,-3.897461,17.688477,-6.2958984,3
1140000000,-3.897461,17.688477,-5.3964844,3
1150000000,-4.347168,18.58789,-5.246582,3
3010154686,-3.5976563,18.887695,-4.6469727,3
3020154686,-4.1972656,17.23877,-3.5976563,3
3770154686,-4.4970703,18.437988,-4.6469727,3
3780154686,-4.0473633,17.538574,-3.7475586,3
3790154686,-4.796875,16.03955,-3.897461,3
3800154686,-5.0966797,17.538574,-5.246582,3
4501994893,-3.897461,17.688477,-4.4970703,3
4511994893,-3.447754,17.988281,-4.6469727,3
5261994893,-3.2978516,19.337402,-4.347168,3
5271994893,-4.1972656,18.737793,-4.0473633,3
6001994893,-5.0966797,18.138184,-4.347168,3
6011994893,-4.4970703,17.23877,-5.0966797,3
6761994893,-4.9467773,17.688477,-4.9467773,3
6771994893,-2.3984375,17.988281,-3.7475586,3
8261994893,-4.1972656,19.487305,-4.1972656,3
8271994893,-3.897461,19.487305,-4.4970703,3
9001994893,-4.347168,18.58789,-5.246582,3
9011994893,-3.447754,18.437988,-4.6469727,3
9761994893,-4.9467773,18.737793,-5.8461914,3
9771994893,-2.8481445,18.737793,-5.3964844,3
12001994893,-3.447754,17.988281,-4.1972656,3
12011994893,-3.5976563,17.838379,-5.0966797,3
12761994893,-4.0473633,18.887695,-6.145996,3
12771994893,-3.447754,18.737793,-4.9467773,3
13501994893,-3.447754,17.688477,-5.0966797,3
13511994893,-2.0986328,16.63916,-5.8461914,3
14261994893,-4.9467773,18.437988,-5.0966797,3
14271994893,-5.0966797,17.088867,-4.796875,3
15081994893,-3.897461,19.037598,-5.0966797,3
15091994893,-5.246582,16.938965,-5.0966797,3
15121994893,-3.2978516,18.58789,-4.796875,3
15131994893,-5.0966797,18.138184,-5.696289,3
15161994893,-3.1479492,16.63916,-5.5463867,3
15171994893,-4.796875,18.138184,-6.145996,3
15221994893,-4.0473633,18.887695,-5.246582,3
15231994893,-4.0473633,19.637207,-6.595703,3
15261994893,-3.2978516,18.887695,-5.0966797,3
15271994893,-4.1972656,17.688477,-4.9467773,3
15301994893,-3.5976563,18.887695,-5.5463867,3
15311994893,-2.8481445,17.688477,-5.0966797,3
15341994893,-3.5976563,19.337402,-5.246582,3
15351994893,-3.1479492,17.988281,-4.6469727,3
15401994893,-4.347168,17.838379,-5.696289,3
15411994893,-2.8481445,18.437988,-5.5463867,3
15441994893,-3.1479492,18.737793,-4.6469727,3
15451994893,-3.897461,17.988281,-5.5463867,3
15481994893,-3.447754,17.23877,-5.0966797,3
15491994893,-4.796875,17.538574,-5.0966797,3
15521994893,-4.347168,18.58789,-5.5463867,3
15531994893,-3.5976563,17.538574,-4.796875,3
15581994893,-4.0473633,17.538574,-5.246582,3
15591994893,-2.3984375,17.688477,-4.9467773,3
15621994893,-3.1479492,18.737793,-4.4970703,3
15631994893,-5.246582,18.437988,-4.6469727,3
15661994893,-4.4970703,19.487305,-5.3964844,3
15671994893,-4.1972656,18.437988,-5.8461914,3
15701994893,-3.5976563,18.58789,-6.445801,3
15711994893,-4.0473633,17.838379,-5.5463867,3
15761994893,-3.1479492,18.737793,-5.5463867,3
15771994893,-5.696289,19.037598,-4.6469727,3
15801994893,-5.696289,17.988281,-5.3964844,3
15811994893,-3.897461,17.988281,-5.3964844,3
15841994893,-4.4970703,18.737793,-4.4970703,3
15851994893,-4.796875,17.838379,-5.246582,3
15881994893,-2.5483398,19.337402,-5.246582,3
15891994893,-4.0473633,17.538574,-3.897461,3
15941994893,-4.347168,16.789063,-5.696289,3
15951994893,-3.5976563,18.887695,-5.5463867,3
15981994893,-3.447754,20.236816,-5.3964844,3
15991994893,-4.0473633,18.58789,-5.696289,3
16061994893,-3.1479492,18.437988,-5.5463867,3
16071994893,-3.897461,17.988281,-6.145996,3
16101994893,-4.4970703,19.487305,-4.1972656,3
16111994893,-2.5483398,17.838379,-5.9960938,3
16141994893,-3.897461,18.437988,-4.6469727,3
16151994893,-3.897461,20.236816,-4.9467773,3
16201994893,-3.5976563,17.538574,-5.696289,3
16211994893,-6.2958984,17.688477,-4.9467773,3
16241994893,-4.796875,17.838379,-6.145996,3
16251994893,-2.8481445,18.437988,-5.8461914,3
16281994893,-3.447754,17.988281,-5.8461914,3
16291994893,-4.1972656,17.988281,-5.5463867,3
16321994893,-3.2978516,17.838379,-5.246582,3
