G,0,0.0,0.0,0.0,3
G,10000000,0.0,0.0,0.0,3
G,20000000,0.0,0.0,0.0,3
G,30000000,0.05672533,-0.028495824,0.020506341,3
G,40000000,0.018908445,-0.00479369,0.01438107,3
G,50000000,0.010120012,-0.0018642128,0.011451593,3
G,60000000,0.011451593,-0.0031957934,0.0127831735,3
G,70000000,0.0127831735,2.663161E-4,0.010652645,3
G,80000000,0.011451593,0.0015978967,0.0061252704,3
G,90000000,0.0053263223,-2.663161E-4,0.0029294773,3
G,100000000,0.0039947415,0.0015978967,-5.326322E-4,3
G,110000000,0.0026631611,-2.663161E-4,-0.0039947415,3
G,120000000,5.326322E-4,-0.0010652645,-0.004261058,3
G,130000000,-0.0037284256,0.002130529,-0.00479369,3
G,140000000,-0.007989483,0.0015978967,-0.007190535,3
G,150000000,-0.013315806,5.326322E-4,-0.007190535,3
G,320000000,-0.009321064,-0.0018642128,-0.013582122,3
G,330000000,-0.005060006,-7.9894834E-4,-0.010120012,3
G,340000000,7.9894834E-4,-2.663161E-4,-0.010652645,3
G,350000000,0.002130529,-0.0026631611,-0.008788432,3
G,1060000000,-0.0314253,0.010386328,-0.01304949,3
G,1070000000,-0.021571605,0.013315806,-0.01304949,3
G,1080000000,-0.01784318,0.01571265,-0.010386328,3
G,1090000000,-0.017044231,0.017044231,-0.0055926386,3
G,1100000000,-0.016777916,0.014647386,-0.007989483,3
G,1110000000,-0.013848438,0.012250541,-0.005060006,3
G,1120000000,-0.007989483,0.011717909,-0.0037284256,3
G,1130000000,0.0010652645,0.011717909,-0.0013315806,3
M,3000025989,-1.3491211,17.688477,5.0966797,3
M,3010025989,-1.3491211,16.938965,4.6469727,3
G,3010025989,0.0018642128,-0.004261058,-0.0026631611,3
G,3020025989,0.0018642128,-0.0055926386,-0.0031957934,3
M,3020025989,-1.9487305,20.386719,4.796875,3
M,3030025989,-2.2485352,18.138184,5.696289,3
G,3750025989,0.0127831735,0.0015978967,-0.0015978967,3
G,3760025989,0.016245283,-2.663161E-4,-0.0015978967,3
M,3760025989,-2.8481445,17.23877,4.4970703,3
M,3770025989,-2.0986328,18.437988,5.0966797,3
G,3770025989,-0.004527374,0.0055926386,-7.9894834E-4,3
G,3780025989,-0.011984225,0.0018642128,-0.009853696,3
M,3780025989,-0.14990234,19.937012,4.1972656,3
M,3790025989,-2.3984375,17.988281,4.6469727,3
M,4501105103,0.14990234,18.58789,4.1972656,3
M,4511105103,-2.9980469,17.538574,5.246582,3
A,4521105103,1.1659763,-0.9552865,-9.582792,3
A,4531105103,1.1540052,-0.9888053,-9.677363,3
G,4531105103,0.009054748,-0.0034621095,-0.0039947415,3
G,4541105103,0.0015978967,-0.004261058,-0.008522116,3
G,5271105103,0.02396845,-0.009054748,0.0015978967,3
G,5281105103,0.025033714,-0.007190535,-0.0010652645,3
M,5261105103,-1.4990234,19.337402,5.246582,3
M,5271105103,-2.3984375,19.487305,5.3964844,3
A,5281105103,1.198298,-0.9744401,-9.583989,3
A,5291105103,1.1971009,-0.985214,-9.601946,3
G,5291105103,0.020772656,-0.010386328,-0.00479369,3
G,5301105103,0.020506341,-0.013848438,-0.008522116,3
M,6001105103,-1.0493164,17.23877,4.6469727,3
M,6011105103,-1.6489258,18.437988,5.0966797,3
A,6021105103,1.1192893,-1.1168951,-9.710882,3
A,6031105103,1.0953473,-1.1408371,-9.707291,3
G,6031105103,-0.016511599,-0.0013315806,-0.02396845,3
G,6041105103,-0.033023197,0.002396845,-0.0314253,3
M,6021105103,-0.5996094,17.688477,5.8461914,3
M,6031105103,-0.44970703,19.937012,5.0966797,3
G,6771105103,0.004261058,-0.0034621095,-0.0029294773,3
G,6781105103,0.01438107,-0.006657903,-0.0026631611,3
M,6761105103,-1.6489258,18.437988,5.0966797,3
M,6771105103,-0.2998047,19.487305,4.4970703,3
A,6781105103,1.1815386,-1.0295067,-9.605537,3
A,6791105103,1.1707647,-0.94211835,-9.465476,3
G,6791105103,0.026631612,-0.00958738,5.326322E-4,3
G,6801105103,0.030626353,-0.009853696,0.0034621095,3
M,7501105103,-2.0986328,19.78711,5.8461914,3
M,7511105103,-0.7495117,18.58789,4.796875,3
A,7521105103,1.1384429,-1.0414777,-9.664195,3
A,7531105103,1.1372458,-1.0474633,-9.643845,3
G,7531105103,0.014114754,-0.0058589545,-0.0010652645,3
G,7541105103,0.012250541,-0.0037284256,-0.0031957934,3
M,7521105103,-1.9487305,18.138184,4.1972656,3
M,7531105103,-0.14990234,18.887695,4.1972656,3
G,8271105103,-0.035952676,0.011185277,-0.02956109,3
G,8281105103,-0.041545313,0.01438107,-0.030626353,3
M,8261105103,-0.2998047,19.487305,5.0966797,3
M,8271105103,-0.44970703,17.838379,5.9960938,3
A,8281105103,1.1109096,-1.0785879,-9.592369,3
A,8291105103,1.1001357,-1.0319009,-9.55885,3
G,8291105103,-0.03834952,0.011984225,-0.028495824,3
G,8301105103,-0.034088463,0.012250541,-0.023435818,3
M,9001105103,-2.2485352,18.887695,4.796875,3
M,9011105103,-2.3984375,19.78711,4.4970703,3
A,9021105103,1.0905589,-1.0570401,-9.64145,3
A,9031105103,1.091756,-1.0761937,-9.629479,3
G,9031105103,0.009321064,-0.0053263223,7.9894834E-4,3
G,9041105103,0.009054748,-0.0037284256,-0.0013315806,3
A,9761105103,1.1468226,-1.043872,-9.7324295,3
A,9771105103,1.1959038,-1.0426749,-9.812635,3
A,10521105103,1.1827357,-0.9744401,-9.635465,3
A,10531105103,1.1575965,-1.0031705,-9.665392,3
