G,0,0.0,0.0,0.0,3
G,10000000,0.0,0.0,0.0,3
G,20000000,0.0,0.0,0.0,3
G,30000000,0.27830034,-0.05352954,-0.06764429,3
G,40000000,0.6106629,-0.0018642128,-0.3720436,3
G,50000000,0.7536746,-0.04926848,-0.38482678,3
G,60000000,0.82078624,-0.13662016,-0.2825614,3
G,70000000,0.8330368,-0.1882855,-0.1882855,3
G,80000000,0.80107886,-0.20053603,-0.18535602,3
G,90000000,0.6785734,-0.22956449,-0.20532973,3
G,100000000,0.65194184,-0.25033715,-0.30013826,3
G,110000000,0.51478904,-0.28842035,-0.34887412,3
G,120000000,0.4958806,-0.2892193,-0.43649212,3
G,130000000,0.49428272,-0.24474451,-0.48469532,3
G,140000000,0.48469532,-0.2130529,-0.47484162,3
G,150000000,0.50653327,-0.20026971,-0.5422196,3
G,320000000,0.07536746,-0.066312715,-0.037284255,3
G,330000000,0.050333746,-0.03834952,-0.02876214,3
G,340000000,0.038083203,-0.0031957934,-0.011185277,3
G,350000000,0.0479369,0.03701794,-0.004261058,3
G,1060000000,-0.011185277,-0.014647386,-0.047404267,3
G,1070000000,-0.02130529,-0.006924219,-0.04314321,3
G,1080000000,-0.023702133,-0.0055926386,-0.04527374,3
G,1090000000,-0.028495824,-0.01304949,-0.050333746,3
G,1100000000,-0.032490566,-0.023169503,-0.051931642,3
G,1110000000,-0.02956109,-0.03195793,-0.045007423,3
G,1120000000,-0.02743056,-0.03568636,-0.043942157,3
G,1130000000,-0.026897928,-0.037284255,-0.04527374,3
A,4499494893,-0.58657944,-3.040636,-9.408015,3
A,4509494893,-0.6572084,-2.9724014,-9.455899,3
G,4499494893,-0.16271915,-0.06018744,0.07882957,3
G,4509494893,-0.21624869,-0.06764429,0.07536746,3
A,4519494893,-0.7182605,-2.8203697,-9.491813,3
A,4529494893,-0.7433996,-2.5953147,-9.495404,3
A,5999494893,-0.7661445,-2.6204538,-9.532514,3
A,6009494893,-0.7290344,-2.5486276,-9.540894,3
G,5999494893,0.010120012,0.027696876,0.028229509,3
G,6009494893,-0.0053263223,0.02743056,0.020772656,3
A,6019494893,-0.724246,-2.4971523,-9.569624,3
A,6029494893,-0.70509243,-2.4396915,-9.570822,3
G,6019494893,-0.023169503,0.02609898,0.013315806,3
G,6029494893,-0.03781689,0.026365295,0.008788432,3
G,7452010675,0.03169162,-0.0018642128,0.015180019,3
